"","veg","matmin","matmean","matmax","mapmin","mapmean","mapmax","maxtwarmmin","maxtwarmmean","maxtwarmmax","mintcoolmin","mintcoolmean","mintcoolmax"
"1","dsf",7.50838232040405,12.6966885347255,15.9003601074219,586.999877929688,885.817615525275,1524.99975585938,21,25.4675941976622,30.6418991088867,-3.27097010612488,1.15694682053307,6.62581014633179
"2","gw",7.63499450683594,10.7940787014208,13.0871601104736,600.000061035156,892.315754137541,1501.99975585938,21,24.999910455001,28.0323009490967,-3.26999998092651,-1.284830157498,1.14193999767303
"3","wsf",7.63499450683594,12.1319538116455,15.8786125183105,678.000305175781,988.924961853027,1501.99975585938,21,24.3128175735474,26.4515991210938,-3.26999998092651,1.07863786648959,6.45161008834839
